curve,bin_idx,bin_lower,bin_upper,prob_pred,prob_true,n_samples,abs_error,signed_error
calibrated_reweighted,0,0.0,0.1,0.02396940648557135,0.024489795918367346,3185,0.0005203894327959965,-0.0005203894327959965
calibrated_reweighted,1,0.1,0.2,,,0,,
calibrated_reweighted,2,0.2,0.30000000000000004,0.28571428571428564,0.3333333333333333,12,0.04761904761904767,-0.04761904761904767
calibrated_reweighted,3,0.30000000000000004,0.4,0.3030013855537639,0.0,1,0.3030013855537639,0.3030013855537639
calibrated_reweighted,4,0.4,0.5,,,0,,
calibrated_reweighted,5,0.5,0.6000000000000001,,,0,,
calibrated_reweighted,6,0.6000000000000001,0.7000000000000001,,,0,,
calibrated_reweighted,7,0.7000000000000001,0.8,0.7699230229272889,0.75,16,0.01992302292728887,0.01992302292728887
calibrated_reweighted,8,0.8,0.9,0.8769886363636363,0.8125,32,0.06448863636363633,0.06448863636363633
calibrated_reweighted,9,0.9,1.0,0.9997782847674407,0.997289972899729,369,0.002488311867711701,0.002488311867711701
