model,fold,auroc,auprc,accuracy,precision,recall,f1
logreg,1,0.90976388120273,0.7881111853000514,0.8717842323651452,0.5169491525423728,0.7507692307692307,0.6122961104140527
logreg,2,0.8919407463243582,0.7526753023838402,0.8622120771944387,0.49201277955271566,0.711864406779661,0.5818639798488665
logreg,3,0.9020717013856855,0.7763323866437561,0.8717576260634986,0.517467248908297,0.7292307692307692,0.6053639846743295
logreg,4,0.8890414598594018,0.7496604750866107,0.8647022203776717,0.4988888888888889,0.6907692307692308,0.5793548387096774
logreg,5,0.8927269037031569,0.7645391310239404,0.8655322681054161,0.5010822510822511,0.7123076923076923,0.5883100381194409
mlp,1,0.966262313226342,0.920329450726541,0.975103734439834,0.9783393501805054,0.8338461538461538,0.9003322259136213
mlp,2,0.9601796528878593,0.9117380261121315,0.9728159369163727,0.9814126394052045,0.8135593220338984,0.8896377422072451
mlp,3,0.9621728139933946,0.9223317369506638,0.9757211039634779,0.968365553602812,0.8476923076923077,0.904019688269073
mlp,4,0.9491222761407458,0.8944538251262281,0.9694957460053953,0.9700934579439252,0.7984615384615384,0.8759493670886076
mlp,5,0.9698699189992066,0.9306080379360011,0.9765511516912222,0.9735449735449735,0.8492307692307692,0.9071487263763353
