feature,category,label0_prop,label1_prop,abs_diff
sex,female,0.5205065477047057,0.5647891658971992,0.04428261819249346
sex,male,0.4794934522952943,0.4315173899661434,0.04797606232915086
sex,nan,0.0,0.0003077870113881194,0.0003077870113881194
sex,not reported,0.0,0.0006155740227762388,0.0006155740227762388
sex,unknown,0.0,0.002770083102493075,0.002770083102493075
ethnicity,hispanic or latino,0.0,0.028931979070483227,0.028931979070483227
ethnicity,nan,0.0,0.0003077870113881194,0.0003077870113881194
ethnicity,not hispanic or latino,1.0,0.44136657433056325,0.5586334256694367
ethnicity,not reported,0.0,0.4866112650046168,0.4866112650046168
ethnicity,unknown,0.0,0.0427823945829486,0.0427823945829486
race,Unknown,0.0,0.030470914127423823,0.030470914127423823
race,american indian or alaska native,0.0,0.0012311480455524776,0.0012311480455524776
race,asian,0.1556099198925505,0.028931979070483227,0.12667794082206726
race,black or african american,0.2954861610783326,0.08587257617728532,0.20961358490104726
race,nan,0.0,0.0003077870113881194,0.0003077870113881194
race,not reported,0.0,0.4616805170821791,0.4616805170821791
race,other,0.054971938408404086,0.0,0.054971938408404086
race,white,0.4939319806207128,0.3915050784856879,0.10242690213502492
