dataset,stage,column,rows_total,rows_after,rows_lost,missing_count,missing_pct,reason,source_column
hcmi_tcga,raw_load,,819,819,0,,,load_csv,
hcmi_tcga,after_align_filter,,819,819,0,,,align_and_reindex,
hcmi_tcga,after_normalize_categories,,819,819,0,,,normalize_categories,
hcmi_tcga,after_dropna_protected,"age_years,bmi_last,height_last,weight_last,sex,race,ethnicity",819,511,308,,,dropna_any_protected,
hcmi_tcga,merge_audit,,819,819,0,,,no_merge_in_align,
hcmi_tcga,null_analysis,age_at_index,819,,,0,0.0,missing_or_not_reported,age_years
hcmi_tcga,null_analysis,tobacco_smoking_status_any,819,,,0,0.0,missing_or_not_reported,tobacco_smoking_status_any
hcmi_tcga,null_analysis,bmi_last,819,,,0,0.0,missing_or_not_reported,bmi_last
hcmi_tcga,null_analysis,gender,819,,,0,0.0,missing_or_not_reported,sex
hcmi_tcga,null_analysis,race,819,,,267,0.326,missing_or_not_reported,race
nhanes,raw_load,,20850,20850,0,,,load_csv,
nhanes,after_align_filter,,20850,20850,0,,,align_and_reindex,
nhanes,after_normalize_categories,,20850,20850,0,,,normalize_categories,
nhanes,after_dropna_protected,"age_years,bmi_last,height_last,weight_last,sex,race,ethnicity",20850,20850,0,,,dropna_any_protected,
nhanes,merge_audit,,20850,20850,0,,,no_merge_in_align,
nhanes,null_analysis,age_at_index,20850,,,0,0.0,missing_or_not_reported,age_years
nhanes,null_analysis,tobacco_smoking_status_any,20850,,,0,0.0,missing_or_not_reported,tobacco_smoking_status_any
nhanes,null_analysis,bmi_last,20850,,,0,0.0,missing_or_not_reported,bmi_last
nhanes,null_analysis,gender,20850,,,0,0.0,missing_or_not_reported,sex
nhanes,null_analysis,race,20850,,,0,0.0,missing_or_not_reported,race
