dataset,stage,column,rows_total,rows_after,rows_lost,missing_count,missing_pct,reason,source_column
hcmi_tcga,raw_load,,21501,21501,0,,,load_csv,
hcmi_tcga,after_align_filter,,21501,21501,0,,,align_and_reindex,
hcmi_tcga,after_normalize_categories,,21501,21501,0,,,normalize_categories,
hcmi_tcga,after_dropna_protected,"age_years,bmi_last,height_last,weight_last,sex,race,ethnicity",21501,483,21018,,,dropna_any_protected,
hcmi_tcga,merge_audit,,21501,21501,0,,,no_merge_in_align,
hcmi_tcga,null_analysis,age_at_index,21501,,,18029,0.8385,missing_or_not_reported,age_years
hcmi_tcga,null_analysis,tobacco_smoking_status_any,21501,,,20800,0.9674,missing_or_not_reported,tobacco_smoking_status_any
hcmi_tcga,null_analysis,bmi_last,21501,,,20810,0.9679,missing_or_not_reported,bmi_last
hcmi_tcga,null_analysis,gender,21501,,,35,0.0016,missing_or_not_reported,sex
hcmi_tcga,null_analysis,race,21501,,,18774,0.8732,missing_or_not_reported,race
nhanes,raw_load,,1244,1244,0,,,load_csv,
nhanes,after_align_filter,,1244,1244,0,,,align_and_reindex,
nhanes,after_normalize_categories,,1244,1244,0,,,normalize_categories,
nhanes,after_dropna_protected,"age_years,bmi_last,height_last,weight_last,sex,race,ethnicity",1244,0,1244,,,dropna_any_protected,
nhanes,merge_audit,,1244,1244,0,,,no_merge_in_align,
nhanes,null_analysis,age_at_index,1244,,,,,column_missing_in_source,
nhanes,null_analysis,tobacco_smoking_status_any,1244,,,0,0.0,missing_or_not_reported,smq020
nhanes,null_analysis,bmi_last,1244,,,,,column_missing_in_source,
nhanes,null_analysis,gender,1244,,,,,column_missing_in_source,
nhanes,null_analysis,race,1244,,,,,column_missing_in_source,
