feature,coef,abs_coef
weight_last,5.986315513241802,5.986315513241802
"primary_site_uterus, nos",3.0626554930485645,3.0626554930485645
disease_type_complex mixed and stromal neoplasms,-2.6180280370521616,2.6180280370521616
height_last,-2.383230330219712,2.383230330219712
primary_site_kidney,-2.2365064868787448,2.2365064868787448
disease_type_myomatous neoplasms,1.9220290273991671,1.9220290273991671
dem_race_Unknown,1.4186329187027882,1.4186329187027882
last_ajcc_stage_stage iiic,1.242547985212805,1.242547985212805
primary_site_stomach,-1.0861103637101808,1.0861103637101808
last_ajcc_stage_stage 0,-0.9552600710449404,0.9552600710449404
last_ajcc_stage_stage ia,-0.9293749602444327,0.9293749602444327
"primary_site_connective, subcutaneous and other soft tissues",-0.9093269030358235,0.9093269030358235
"primary_site_bones, joints and articular cartilage of other and unspecified sites",0.8967095595330203,0.8967095595330203
"disease_type_cystic, mucinous and serous neoplasms",-0.8872776593768946,0.8872776593768946
primary_site_bladder,0.8559958367422399,0.8559958367422399
primary_site_liver and intrahepatic bile ducts,-0.8510080684097756,0.8510080684097756
primary_site_infrequent_sklearn,-0.8427574585636318,0.8427574585636318
primary_site_breast,0.7953599300883802,0.7953599300883802
primary_site_corpus uteri,0.7689786565786841,0.7689786565786841
last_ajcc_stage_infrequent_sklearn,0.7418102112254323,0.7418102112254323
"disease_type_epithelial neoplasms, nos",0.7198878455267814,0.7198878455267814
dem_race_white,-0.7080272052009863,0.7080272052009863
primary_site_other and unspecified parts of mouth,-0.6629020800059047,0.6629020800059047
dem_updated_datetime_2021-07-12T12:25:55.528644-05:00,-0.6610486463927878,0.6610486463927878
updated_datetime_2021-07-12T12:25:55.528644-05:00,-0.6610486463927817,0.6610486463927817
last_ajcc_stage_stage ivb,-0.6188155693634291,0.6188155693634291
last_ajcc_stage_stage i,-0.6009735175090039,0.6009735175090039
any_targeted,0.5790720913245508,0.5790720913245508
any_immuno,-0.5622148711053018,0.5622148711053018
primary_site_other and unspecified parts of biliary tract,-0.5316354364577037,0.5316354364577037
dem_race_black or african american,-0.4838700850051969,0.4838700850051969
disease_type_squamous cell neoplasms,0.3979114639843181,0.3979114639843181
last_ajcc_stage_stage iia,-0.3960087802680364,0.3960087802680364
disease_type_ductal and lobular neoplasms,-0.3886675271980047,0.3886675271980047
primary_site_skin,-0.36913906309970534,0.36913906309970534
updated_datetime_2023-07-13T10:35:44.371881-05:00,-0.35798877749087665,0.35798877749087665
dem_updated_datetime_2023-07-13T10:35:44.371881-05:00,-0.3579887774908764,0.3579887774908764
dem_updated_datetime_2021-01-06T22:55:10.531130-06:00,0.3411797890486822,0.3411797890486822
updated_datetime_2021-01-06T22:55:10.531130-06:00,0.34117978904867435,0.34117978904867435
last_ajcc_stage_not reported,-0.3402172397277802,0.3402172397277802
last_ajcc_stage_stage iii,0.3379470207663288,0.3379470207663288
last_ajcc_stage_stage iv,0.3313412891244317,0.3313412891244317
disease_type_adenomas and adenocarcinomas,0.330610306566723,0.330610306566723
primary_site_rectum,0.32758300304689625,0.32758300304689625
dem_days_to_birth,-0.3216866777726048,0.3216866777726048
mean_age_at_dx,0.31858440399158405,0.31858440399158405
primary_site_pancreas,0.30976409012651795,0.30976409012651795
dem_cause_of_death_Cancer Related,0.3088937802986412,0.3088937802986412
last_ajcc_stage_stage ib,0.29105677083173187,0.29105677083173187
last_ajcc_stage_stage iiib,0.28995679532031365,0.28995679532031365
disease_type_nevi and melanomas,0.2896718174118383,0.2896718174118383
disease_type_gliomas,0.28826041943317493,0.28826041943317493
primary_site_brain,0.28826041943316794,0.28826041943316794
updated_datetime_2021-03-03T15:15:08.075155-06:00,0.2601243958675003,0.2601243958675003
dem_updated_datetime_2023-02-22T07:39:25.979291-06:00,0.24321193162372415,0.24321193162372415
updated_datetime_2023-02-22T07:39:25.979291-06:00,0.24321193162372365,0.24321193162372365
ethnicity_not reported,-0.23871607986685733,0.23871607986685733
dem_ethnicity_not reported,-0.23871607986684576,0.23871607986684576
pack_years_smoked_max,-0.2269433523857399,0.2269433523857399
n_diagnoses,0.22322049294821358,0.22322049294821358
last_ajcc_stage_stage iiia,0.2161897905331647,0.2161897905331647
dem_race_asian,-0.20925677039278945,0.20925677039278945
index_date_First Patient Visit,0.20833287023009775,0.20833287023009775
last_ajcc_stage_stage iva,0.20599376112941256,0.20599376112941256
dem_updated_datetime_2023-11-07T14:20:00.017270-06:00,0.2010975241765321,0.2010975241765321
updated_datetime_2023-11-07T14:20:00.017270-06:00,0.20109752417653165,0.20109752417653165
updated_datetime_2020-01-13T20:10:25.832065-06:00,-0.2002706762106979,0.2002706762106979
dem_race_not reported,-0.1940168997595038,0.1940168997595038
updated_datetime_infrequent_sklearn,-0.1931567150294554,0.1931567150294554
index_date_Sample Procurement,-0.18384143551434134,0.18384143551434134
last_ajcc_stage_stage iib,0.1838065140139576,0.1838065140139576
dem_race_infrequent_sklearn,0.1765380416556919,0.1765380416556919
dem_cause_of_death_infrequent_sklearn,-0.16625299843980376,0.16625299843980376
dem_ethnicity_Unknown,0.1602707320636438,0.1602707320636438
ethnicity_unknown,0.16027073206364198,0.16027073206364198
dem_age_is_obfuscated,-0.15887362477863673,0.15887362477863673
sex_female,0.15847255651192446,0.15847255651192446
sex_male,-0.15847255651192443,0.15847255651192443
dem_gender_male,-0.15847255651192027,0.15847255651192027
dem_gender_female,0.15847255651192024,0.15847255651192024
primary_site_small intestine,0.15769823961432336,0.15769823961432336
updated_datetime_2025-04-07T17:13:09.336794-05:00,0.1428900570170906,0.1428900570170906
dem_updated_datetime_2025-04-07T17:13:09.336794-05:00,0.14289005701708443,0.14289005701708443
dem_cause_of_death_Unknown,-0.14264078185883877,0.14264078185883877
updated_datetime_2025-03-31T16:34:59.906497-05:00,0.14232228318893866,0.14232228318893866
dem_updated_datetime_2025-03-31T16:34:59.906497-05:00,0.14232228318893703,0.14232228318893703
n_treatments,-0.13724790632743852,0.13724790632743852
any_chemo,-0.1357593379829848,0.1357593379829848
primary_site_bronchus and lung,0.13165510630820645,0.13165510630820645
label,-0.09918409883750344,0.09918409883750344
dem_ethnicity_hispanic or latino,0.09540331373080076,0.09540331373080076
ethnicity_hispanic or latino,0.09540331373079997,0.09540331373079997
dem_updated_datetime_2020-10-20T19:20:06.800740-05:00,0.08163883420115284,0.08163883420115284
updated_datetime_2020-10-20T19:20:06.800740-05:00,0.0816388342011504,0.0816388342011504
dem_updated_datetime_infrequent_sklearn,-0.07500471710322898,0.07500471710322898
any_metastasis,-0.07147342430177565,0.07147342430177565
primary_site_esophagus,-0.068983385225746,0.068983385225746
dem_updated_datetime_2021-03-03T15:15:08.075155-06:00,-0.05829827826931807,0.05829827826931807
dem_vital_status_Alive,0.04911140181543421,0.04911140181543421
primary_site_colon,-0.03927253259864729,0.03927253259864729
dem_vital_status_Unknown,-0.0381138980508253,0.0381138980508253
any_radiation,-0.0349851254645413,0.0349851254645413
disease_type_infrequent_sklearn,-0.029318853423001584,0.029318853423001584
disease_type_transitional cell papillomas and carcinomas,-0.025078803271991974,0.025078803271991974
index_date_Diagnosis,-0.02449143471583459,0.02449143471583459
fam_hist_pos_any,-0.021797014984331148,0.021797014984331148
dem_year_of_birth,0.017108883748502807,0.017108883748502807
dem_ethnicity_not hispanic or latino,-0.016957965927477177,0.016957965927477177
ethnicity_not hispanic or latino,-0.01695796592747217,0.01695796592747217
n_molecular_tests,0.016286523894454646,0.016286523894454646
dem_vital_status_Dead,-0.010997503764637467,0.010997503764637467
last_days_to_follow_up,0.010886670947625023,0.010886670947625023
dem_days_to_death,-0.009642593619721205,0.009642593619721205
primary_site_ovary,0.0029814434658148254,0.0029814434658148254
