feature,coef,abs_coef
weight_last,19.16812797427432,19.16812797427432
bmi_last,-15.976918866176707,15.976918866176707
any_targeted,4.850137055973215,4.850137055973215
any_immuno,-4.625104469321381,4.625104469321381
last_ajcc_stage_not reported,-4.134039201671122,4.134039201671122
primary_site_bladder,4.118254499016934,4.118254499016934
primary_site_corpus uteri,2.6734618183812535,2.6734618183812535
dem_year_of_birth,-2.3675119240198472,2.3675119240198472
"primary_site_uterus, nos",-2.307666971991483,2.307666971991483
last_ajcc_stage_stage iva,2.195697305541384,2.195697305541384
last_ajcc_stage_stage ia,-2.19503713249236,2.19503713249236
dem_race_not reported,1.7172111074788674,1.7172111074788674
dem_race_Unknown,-1.6264395746940972,1.6264395746940972
primary_site_liver and intrahepatic bile ducts,-1.5832001142871133,1.5832001142871133
dem_race_infrequent_sklearn,1.55808153065642,1.55808153065642
last_ajcc_stage_infrequent_sklearn,1.5261151684221366,1.5261151684221366
dem_days_to_birth,1.4831181870432952,1.4831181870432952
updated_datetime_2020-01-13T20:10:25.832065-06:00,1.4012614966492485,1.4012614966492485
disease_type_complex mixed and stromal neoplasms,-1.3816329843549164,1.3816329843549164
"disease_type_epithelial neoplasms, nos",1.327108629472077,1.327108629472077
primary_site_other and unspecified parts of mouth,-1.317665361833823,1.317665361833823
last_ajcc_stage_stage iii,1.294612703503441,1.294612703503441
primary_site_pancreas,-1.2528103753793178,1.2528103753793178
index_date_Sample Procurement,1.2218065357377161,1.2218065357377161
last_ajcc_stage_stage ivb,-1.1885116400281877,1.1885116400281877
dem_ethnicity_not reported,-1.182491304567637,1.182491304567637
ethnicity_not reported,-1.182491304567635,1.182491304567635
last_ajcc_stage_stage iv,1.1176011489294644,1.1176011489294644
disease_type_ductal and lobular neoplasms,1.1083026708382697,1.1083026708382697
updated_datetime_2021-07-12T12:25:55.528644-05:00,-1.095927189289928,1.095927189289928
dem_updated_datetime_2021-07-12T12:25:55.528644-05:00,-1.0959271892899272,1.0959271892899272
primary_site_breast,1.0338617173007105,1.0338617173007105
dem_ethnicity_Unknown,1.0141159029305618,1.0141159029305618
ethnicity_unknown,1.0141159029305566,1.0141159029305566
last_ajcc_stage_stage iiic,0.9947945183996799,0.9947945183996799
primary_site_skin,-0.9331009727702299,0.9331009727702299
primary_site_rectosigmoid junction,0.9123053577992711,0.9123053577992711
dem_race_asian,-0.9107350983972549,0.9107350983972549
primary_site_ovary,-0.8328952840640645,0.8328952840640645
dem_updated_datetime_2020-10-20T19:20:06.800740-05:00,0.8058560028374369,0.8058560028374369
updated_datetime_2020-10-20T19:20:06.800740-05:00,-0.8008887668477532,0.8008887668477532
disease_type_gliomas,-0.7753281074520385,0.7753281074520385
primary_site_brain,-0.7753281074520061,0.7753281074520061
index_date_First Patient Visit,-0.7334187851613783,0.7334187851613783
n_treatments,0.7254506720433116,0.7254506720433116
disease_type_transitional cell papillomas and carcinomas,-0.7060989200571719,0.7060989200571719
"disease_type_cystic, mucinous and serous neoplasms",0.678746069868426,0.678746069868426
updated_datetime_2021-03-03T15:15:08.075155-06:00,0.6775352766306069,0.6775352766306069
dem_updated_datetime_2021-03-03T15:15:08.075155-06:00,0.677535276630605,0.677535276630605
dem_vital_status_Dead,-0.6656405817554467,0.6656405817554467
last_ajcc_stage_stage ib,0.6598802510656541,0.6598802510656541
mean_age_at_dx,0.6481654478485487,0.6481654478485487
dem_race_white,-0.6360227629657301,0.6360227629657301
dem_vital_status_Unknown,0.634963779521937,0.634963779521937
dem_updated_datetime_2021-01-06T22:55:10.531130-06:00,0.6246616390008229,0.6246616390008229
updated_datetime_2021-01-06T22:55:10.531130-06:00,0.624661639000814,0.624661639000814
primary_site_stomach,-0.620538740827629,0.620538740827629
disease_type_infrequent_sklearn,-0.6094517084330408,0.6094517084330408
dem_updated_datetime_2023-07-13T10:35:44.371881-05:00,-0.6063148696170753,0.6063148696170753
updated_datetime_2023-07-13T10:35:44.371881-05:00,-0.6063148696170731,0.6063148696170731
index_date_Diagnosis,-0.48838775057642464,0.48838775057642464
primary_site_bronchus and lung,-0.45737327501930897,0.45737327501930897
primary_site_colon,0.4528028860237302,0.4528028860237302
last_days_to_follow_up,-0.45158990897648443,0.45158990897648443
dem_updated_datetime_infrequent_sklearn,-0.4302306534626522,0.4302306534626522
dem_updated_datetime_2023-11-07T14:20:00.017270-06:00,-0.3738614128629586,0.3738614128629586
updated_datetime_2023-11-07T14:20:00.017270-06:00,-0.3738614128629566,0.3738614128629566
updated_datetime_2025-04-07T17:13:09.336794-05:00,0.3654850498431902,0.3654850498431902
dem_updated_datetime_2025-04-07T17:13:09.336794-05:00,0.36548504984318025,0.36548504984318025
n_molecular_tests,-0.3608524850407317,0.3608524850407317
dem_cause_of_death_Cancer Related,-0.3595098646777743,0.3595098646777743
primary_site_infrequent_sklearn,0.33791490997741447,0.33791490997741447
primary_site_esophagus,0.2800651332736069,0.2800651332736069
disease_type_adenomas and adenocarcinomas,0.279999654705836,0.279999654705836
dem_cause_of_death_Unknown,0.2544604354021691,0.2544604354021691
last_ajcc_stage_stage iiib,0.2535538495870299,0.2535538495870299
primary_site_rectum,0.25003075816658066,0.25003075816658066
last_ajcc_stage_stage iiia,-0.24996863714533488,0.24996863714533488
last_ajcc_stage_stage iib,-0.24668828956339428,0.24668828956339428
updated_datetime_infrequent_sklearn,-0.2247473804266354,0.2247473804266354
primary_site_small intestine,0.18823025657427545,0.18823025657427545
any_metastasis,0.17829360090413707,0.17829360090413707
primary_site_other and unspecified parts of biliary tract,-0.1663481328889339,0.1663481328889339
dem_age_is_obfuscated,-0.1644220255622708,0.1644220255622708
dem_ethnicity_hispanic or latino,0.10880988393730864,0.10880988393730864
ethnicity_hispanic or latino,0.10880988393730437,0.10880988393730437
dem_cause_of_death_infrequent_sklearn,0.10504942927568943,0.10504942927568943
dem_race_black or african american,-0.10209520207757707,0.10209520207757707
dem_updated_datetime_2023-02-22T07:39:25.979291-06:00,0.07254103041864444,0.07254103041864444
updated_datetime_2023-02-22T07:39:25.979291-06:00,0.07254103041861007,0.07254103041861007
