feature,coef,abs_coef
dem_year_of_birth,-1923.1958650571357,1923.1958650571357
dem_days_to_birth,1763.1271243536503,1763.1271243536503
disease_type_nevi and melanomas,530.5191329703823,530.5191329703823
last_ajcc_stage_stage ivb,390.6534259764028,390.6534259764028
dem_race_not reported,380.59888873971573,380.59888873971573
primary_site_bladder,349.0336551509026,349.0336551509026
primary_site_esophagus,-338.7135902942613,338.7135902942613
dem_days_to_death,315.8701744910646,315.8701744910646
primary_site_small intestine,257.60016041291857,257.60016041291857
disease_type_transitional cell papillomas and carcinomas,-251.79754115683062,251.79754115683062
disease_type_complex mixed and stromal neoplasms,-244.73974248104682,244.73974248104682
index_date_Diagnosis,244.16466723355128,244.16466723355128
mean_age_at_dx,-231.271264889678,231.271264889678
last_ajcc_stage_infrequent_sklearn,227.62541062126252,227.62541062126252
primary_site_breast,-201.47544487082553,201.47544487082553
updated_datetime_2020-01-13T20:10:25.832065-06:00,197.43783000789247,197.43783000789247
primary_site_brain,-179.19938238469675,179.19938238469675
disease_type_gliomas,-179.1993823846951,179.1993823846951
last_ajcc_stage_not reported,-174.17089556308525,174.17089556308525
last_ajcc_stage_stage ia,172.68476430463372,172.68476430463372
any_surgery,-170.33932710784188,170.33932710784188
disease_type_myomatous neoplasms,167.6661315381274,167.6661315381274
primary_site_other and unspecified parts of mouth,167.11318069877407,167.11318069877407
index_date_First Patient Visit,-166.5827550154251,166.5827550154251
dem_ethnicity_not reported,-165.82308260957564,165.82308260957564
ethnicity_not reported,-165.82308260957518,165.82308260957518
disease_type_infrequent_sklearn,-158.97589568389967,158.97589568389967
updated_datetime_infrequent_sklearn,-149.92403010031902,149.92403010031902
primary_site_rectum,-147.81799108964805,147.81799108964805
label,-147.52429230748552,147.52429230748552
updated_datetime_2021-01-06T22:55:10.531130-06:00,144.39438968237172,144.39438968237172
dem_updated_datetime_2021-01-06T22:55:10.531130-06:00,144.39438968237064,144.39438968237064
last_ajcc_stage_stage i,-140.84567483606477,140.84567483606477
last_ajcc_stage_stage iiic,-140.55544513930707,140.55544513930707
disease_type_ductal and lobular neoplasms,139.90082724585358,139.90082724585358
any_metastasis,-133.96748472645208,133.96748472645208
last_ajcc_stage_stage iiib,-133.56511404149995,133.56511404149995
last_ajcc_stage_stage iia,-127.90707742366304,127.90707742366304
last_ajcc_stage_stage iib,-126.35008138459797,126.35008138459797
dem_updated_datetime_2021-07-12T12:25:55.528644-05:00,-123.69984726441618,123.69984726441618
updated_datetime_2021-07-12T12:25:55.528644-05:00,-123.69984726441605,123.69984726441605
primary_site_corpus uteri,122.41664547007738,122.41664547007738
dem_updated_datetime_2020-10-20T19:20:06.800740-05:00,-114.61620510226508,114.61620510226508
dem_ethnicity_Unknown,108.11262913695057,108.11262913695057
ethnicity_unknown,108.11262913694996,108.11262913694996
dem_race_black or african american,-104.92553851290299,104.92553851290299
dem_updated_datetime_2023-02-22T07:39:25.979291-06:00,101.64510835563482,101.64510835563482
dem_race_Unknown,-98.66751660435953,98.66751660435953
last_ajcc_stage_stage iv,98.61811514480927,98.61811514480927
"primary_site_uterus, nos",93.61748970315958,93.61748970315958
primary_site_kidney,-91.70732332165088,91.70732332165088
n_diagnoses,87.96215233473762,87.96215233473762
any_chemo,-87.87263365673017,87.87263365673017
last_ajcc_stage_stage 0,87.32712003480998,87.32712003480998
n_treatments,87.17954222997328,87.17954222997328
last_ajcc_stage_stage iva,-86.74009456701353,86.74009456701353
dem_vital_status_Dead,-85.68934699636499,85.68934699636499
dem_race_asian,-85.11723957199818,85.11723957199818
"disease_type_cystic, mucinous and serous neoplasms",84.45592603692756,84.45592603692756
updated_datetime_2021-03-03T15:15:08.075155-06:00,-80.00567504770056,80.00567504770056
dem_updated_datetime_2021-03-03T15:15:08.075155-06:00,-80.00567504770055,80.00567504770055
index_date_Sample Procurement,-77.58191221815333,77.58191221815333
dem_vital_status_Alive,73.33550934772968,73.33550934772968
updated_datetime_2023-11-07T14:28:29.403873-06:00,64.79924683125404,64.79924683125404
dem_updated_datetime_2023-11-07T14:28:29.403873-06:00,64.7992468312539,64.7992468312539
