feature,coef,abs_coef
dem_days_to_birth,-4391.093473502049,4391.093473502049
dem_year_of_birth,-1161.3289679873194,1161.3289679873194
last_days_to_follow_up,212.14042664070436,212.14042664070436
any_immuno,-166.15464492024532,166.15464492024532
dem_days_to_death,-161.80122014571947,161.80122014571947
disease_type_squamous cell neoplasms,-147.42652759412923,147.42652759412923
primary_site_other and unspecified parts of biliary tract,-140.02136620608871,140.02136620608871
"primary_site_uterus, nos",138.0052150068292,138.0052150068292
any_targeted,121.90390022858519,121.90390022858519
primary_site_bladder,118.78862997256586,118.78862997256586
dem_race_Unknown,111.62122726186404,111.62122726186404
last_ajcc_stage_not reported,-111.29989042432993,111.29989042432993
primary_site_infrequent_sklearn,-110.86340920200941,110.86340920200941
dem_race_infrequent_sklearn,108.45247165555688,108.45247165555688
n_diagnoses,100.28237724637992,100.28237724637992
last_ajcc_stage_stage iva,-93.05440751315466,93.05440751315466
primary_site_skin,90.73200438981995,90.73200438981995
dem_race_asian,-84.05140517175995,84.05140517175995
"disease_type_epithelial neoplasms, nos",82.17938111778369,82.17938111778369
last_ajcc_stage_stage iiia,80.53775451279274,80.53775451279274
ethnicity_unknown,-79.11973159441786,79.11973159441786
dem_ethnicity_Unknown,-79.11973159441415,79.11973159441415
dem_updated_datetime_2023-11-07T14:20:00.017270-06:00,75.82078667158183,75.82078667158183
updated_datetime_2023-11-07T14:20:00.017270-06:00,75.82078667158122,75.82078667158122
last_ajcc_stage_stage iiic,-72.59670375518363,72.59670375518363
dem_updated_datetime_2020-10-20T19:20:06.800740-05:00,-67.6957158927174,67.6957158927174
last_ajcc_stage_stage 0,61.62227418428217,61.62227418428217
primary_site_ovary,-58.4778679923869,58.4778679923869
updated_datetime_infrequent_sklearn,-56.13563813645889,56.13563813645889
dem_race_white,-53.76537131452471,53.76537131452471
last_ajcc_stage_stage iia,53.54615840575852,53.54615840575852
dem_age_is_obfuscated,52.389899475198625,52.389899475198625
primary_site_rectum,-52.148418889924024,52.148418889924024
n_molecular_tests,51.01747265781255,51.01747265781255
primary_site_esophagus,50.09568033618113,50.09568033618113
dem_race_black or african american,-49.85482143851562,49.85482143851562
dem_updated_datetime_2021-03-03T15:15:08.075155-06:00,-48.609594618619795,48.609594618619795
updated_datetime_2021-03-03T15:15:08.075155-06:00,-48.609594618618985,48.609594618618985
dem_ethnicity_not reported,47.9231856234363,47.9231856234363
ethnicity_not reported,47.923185623384576,47.923185623384576
disease_type_complex mixed and stromal neoplasms,-43.57432193325061,43.57432193325061
any_metastasis,-43.370366967658654,43.370366967658654
last_ajcc_stage_infrequent_sklearn,40.706621146311,40.706621146311
primary_site_corpus uteri,-40.38183175676494,40.38183175676494
disease_type_adenomas and adenocarcinomas,38.930878276579755,38.930878276579755
