feature,coef,abs_coef
bmi_last,16.370964161336577,16.370964161336577
height_last,8.242872536573488,8.242872536573488
any_immuno,4.565788439282412,4.565788439282412
any_targeted,-4.108793686447392,4.108793686447392
primary_site_rectosigmoid junction,-2.568541717473522,2.568541717473522
last_ajcc_stage_not reported,2.0528104575410775,2.0528104575410775
disease_type_squamous cell neoplasms,-1.9420725239804633,1.9420725239804633
dem_days_to_birth,1.63394242813881,1.63394242813881
index_date_First Patient Visit,1.459335231735957,1.459335231735957
dem_cause_of_death_infrequent_sklearn,1.4533570357637458,1.4533570357637458
disease_type_infrequent_sklearn,1.4027916681051413,1.4027916681051413
dem_year_of_birth,-1.2698221700010919,1.2698221700010919
dem_race_infrequent_sklearn,-1.261534469068692,1.261534469068692
primary_site_other and unspecified parts of mouth,1.240531024189703,1.240531024189703
primary_site_skin,1.1567427323484323,1.1567427323484323
last_ajcc_stage_stage iiic,-1.1224336548481388,1.1224336548481388
primary_site_stomach,1.0443092888017895,1.0443092888017895
primary_site_breast,-0.9700974655297742,0.9700974655297742
dem_updated_datetime_2023-07-13T10:35:44.371881-05:00,-0.9683805069017531,0.9683805069017531
updated_datetime_2023-07-13T10:35:44.371881-05:00,-0.968380506901748,0.968380506901748
last_ajcc_stage_stage ia,0.9648219252892957,0.9648219252892957
last_ajcc_stage_stage iia,-0.941450769913362,0.941450769913362
last_ajcc_stage_stage iva,-0.9084628263867798,0.9084628263867798
"disease_type_epithelial neoplasms, nos",-0.8721007525717662,0.8721007525717662
dem_race_Unknown,0.8530443465360544,0.8530443465360544
last_ajcc_stage_stage ivb,0.8515152560406791,0.8515152560406791
index_date_Diagnosis,-0.8439824581785729,0.8439824581785729
dem_updated_datetime_2021-07-12T12:25:55.528644-05:00,0.7916819392358038,0.7916819392358038
updated_datetime_2021-07-12T12:25:55.528644-05:00,0.7916819392357943,0.7916819392357943
dem_cause_of_death_Cancer Related,-0.7743118532903059,0.7743118532903059
last_ajcc_stage_stage iib,-0.7736018242792582,0.7736018242792582
dem_ethnicity_Unknown,-0.7200376109343568,0.7200376109343568
ethnicity_unknown,-0.7200376109343499,0.7200376109343499
updated_datetime_2020-01-13T20:10:25.832065-06:00,-0.7193255564489416,0.7193255564489416
"primary_site_uterus, nos",-0.6941800202166849,0.6941800202166849
dem_cause_of_death_Unknown,-0.6790451824732122,0.6790451824732122
primary_site_infrequent_sklearn,0.6475113217225408,0.6475113217225408
disease_type_adenomas and adenocarcinomas,0.6397134802100715,0.6397134802100715
index_date_Sample Procurement,-0.6153527735572123,0.6153527735572123
last_ajcc_stage_infrequent_sklearn,-0.5782081514786276,0.5782081514786276
primary_site_ovary,0.5629970184099784,0.5629970184099784
ethnicity_not hispanic or latino,0.522406897104313,0.522406897104313
dem_ethnicity_not hispanic or latino,0.5224068971042771,0.5224068971042771
primary_site_corpus uteri,-0.5142608923946674,0.5142608923946674
dem_vital_status_Unknown,0.508335293178988,0.508335293178988
dem_vital_status_Dead,-0.4896604152712748,0.4896604152712748
n_diagnoses,-0.47081167166231624,0.47081167166231624
primary_site_colon,-0.466788310747045,0.466788310747045
disease_type_ductal and lobular neoplasms,0.42647444504592513,0.42647444504592513
last_ajcc_stage_stage iv,0.4065266435691175,0.4065266435691175
dem_race_black or african american,0.394917911386186,0.394917911386186
last_ajcc_stage_stage i,0.38939427629548323,0.38939427629548323
primary_site_other and unspecified parts of biliary tract,0.3882164931404713,0.3882164931404713
primary_site_small intestine,0.37023811366150183,0.37023811366150183
updated_datetime_2020-10-20T19:20:06.800740-05:00,0.36385177792021783,0.36385177792021783
n_molecular_tests,-0.34507152460942603,0.34507152460942603
last_ajcc_stage_stage iii,-0.33864462174128845,0.33864462174128845
updated_datetime_infrequent_sklearn,0.3386431544778313,0.3386431544778313
primary_site_esophagus,-0.33094397241001716,0.33094397241001716
last_ajcc_stage_stage iiib,0.3297475676726748,0.3297475676726748
disease_type_nevi and melanomas,0.3221721857534378,0.3221721857534378
disease_type_gliomas,0.3212517962101257,0.3212517962101257
primary_site_brain,0.32125179621010364,0.32125179621010364
last_ajcc_stage_stage iiia,-0.3178628852341888,0.3178628852341888
dem_updated_datetime_2025-04-07T17:13:09.336794-05:00,0.29153674180303785,0.29153674180303785
