feature,coef,abs_coef
dem_vital_status_Alive,-2.019423032282848,2.019423032282848
dem_vital_status_Dead,1.2116731056426668,1.2116731056426668
any_radiation,-0.7460051019280741,0.7460051019280741
any_surgery,-0.7460051019280741,0.7460051019280741
ethnicity_not hispanic or latino,-0.5032370524704107,0.5032370524704107
dem_ethnicity_not hispanic or latino,-0.5032370524704107,0.5032370524704107
dem_vital_status_Unknown,0.4422542020544577,0.4422542020544577
dem_ethnicity_Unknown,0.40150718190497126,0.40150718190497126
ethnicity_unknown,0.40150718190497126,0.40150718190497126
dem_vital_status_Not Reported,0.3659660912399581,0.3659660912399581
index_date_Sample Procurement,0.3659660912399581,0.3659660912399581
fam_hist_pos_any,-0.34916636098212916,0.34916636098212916
n_molecular_tests,0.32516351761921136,0.32516351761921136
last_ajcc_stage_stage iva,0.3239208009827658,0.3239208009827658
n_treatments,0.2811855695427207,0.2811855695427207
n_diagnoses,0.27110241049277617,0.27110241049277617
created_datetime_2019-08-14T15:17:58.351241-05:00,0.256512760752745,0.256512760752745
last_ajcc_stage_stage iiib,0.2504671922029119,0.2504671922029119
created_datetime_2021-06-03T11:45:53.708209-05:00,0.2349382173871497,0.2349382173871497
last_days_to_follow_up,-0.23065717374120567,0.23065717374120567
dem_updated_datetime_2021-07-12T12:25:55.528644-05:00,-0.22954088091757077,0.22954088091757077
updated_datetime_2021-07-12T12:25:55.528644-05:00,-0.22954088091757077,0.22954088091757077
disease_type_ductal and lobular neoplasms,0.22336781896615907,0.22336781896615907
created_datetime_2021-09-07T19:27:41.398878-05:00,0.2216585313332894,0.2216585313332894
index_date_First Patient Visit,-0.2086286853035519,0.2086286853035519
created_datetime_2019-09-25T09:21:44.028049-05:00,0.20731598466730805,0.20731598466730805
created_datetime_2022-03-11T20:05:02.480016-06:00,0.2065972220018363,0.2065972220018363
bmi_last,-0.20585680655539887,0.20585680655539887
created_datetime_2021-02-18T16:40:25.450290-06:00,0.20580641040752617,0.20580641040752617
dem_race_asian,-0.20507616242379043,0.20507616242379043
dem_race_white,0.17602543367012075,0.17602543367012075
dem_updated_datetime_2025-03-31T16:34:59.906497-05:00,0.17596029564870233,0.17596029564870233
updated_datetime_2025-03-31T16:34:59.906497-05:00,0.17596029564870233,0.17596029564870233
created_datetime_2020-10-30T18:29:27.459298-05:00,0.17341487711730283,0.17341487711730283
any_targeted,-0.1730291690498287,0.1730291690498287
any_immuno,-0.1730291690498287,0.1730291690498287
updated_datetime_2020-10-20T19:20:06.800740-05:00,0.1726471815280764,0.1726471815280764
ethnicity_hispanic or latino,0.1623084383390849,0.1623084383390849
dem_ethnicity_hispanic or latino,0.1623084383390849,0.1623084383390849
last_ajcc_stage_stage i,-0.15964633496726605,0.15964633496726605
age_years,0.15840331147783696,0.15840331147783696
index_date_Diagnosis,-0.15686703928217127,0.15686703928217127
dem_race_Unknown,0.15404217139731266,0.15404217139731266
dem_updated_datetime_2020-10-20T19:20:06.800740-05:00,0.1442641314110349,0.1442641314110349
last_ajcc_stage_stage iia,-0.14102475390472677,0.14102475390472677
height_last,0.1268476333676999,0.1268476333676999
disease_type_adenomas and adenocarcinomas,-0.12481144515021565,0.12481144515021565
updated_datetime_2023-02-22T07:39:25.979291-06:00,0.1165776001844814,0.1165776001844814
