feature,category,n_total,n_pos,n_neg,odds_ratio,risk_ratio,risk_exposed,risk_unexposed,risk_diff,chi2,p_value
age_bin,50-59,1019,764,255,0.14289056124933455,0.7855123583106774,0.7497546614327772,0.9544785050170302,-0.204723843584253,789.0376271001002,1.3046643499627769e-173
age_bin,80+,278,254,24,0.6076936351798685,0.9661318246198448,0.9136690647482014,0.9456981350425068,-0.03202907029430535,5.448606549017893,0.019583941282682583
age_bin,70-79,715,608,107,0.30922846313951236,0.8966257979803186,0.8503496503496504,0.9483885610531094,-0.09803891070345905,128.74322828214298,7.718463205744919e-30
age_bin,60-69,1182,880,302,0.13311190835806486,0.7785108259933465,0.7445008460236887,0.9563140564856467,-0.211813210461958,972.3881257471551,1.803749043294485e-213
age_bin,40-49,763,528,235,0.10809277581814916,0.7252972507434667,0.6920052424639581,0.954098808115731,-0.2620935656517729,979.7411779260142,4.5482947180222505e-215
age_bin,30-39,494,302,192,0.07805596175920249,0.6416735721817144,0.611336032388664,0.952721226012314,-0.34138519362365005,1089.3633165882266,6.772006085798014e-239
age_bin,20-29,237,108,129,0.04363522517145904,0.4794470212958575,0.45569620253164556,0.9504620579349564,-0.49476585540331086,1110.4310456183432,1.7855261414632782e-243
sex,female,12996,12308,688,1.0861084729579424,1.0045585279620701,0.9470606340412434,0.9427630224418365,0.004297611599406892,1.982931706108558,0.15908189803808848
sex,male,9714,9158,556,0.9207183489477512,0.9954621579179483,0.9427630224418365,0.9470606340412434,-0.004297611599406892,1.982931706108558,0.15908189803808848
race,white,2955,2248,707,1.8918479978030611,1.213379537883846,0.7607445008460237,0.6269633507853403,0.13378115006068347,55.54820917300888,9.119487261110695e-14
race,black or african american,517,352,165,0.7428491228070175,0.9179305711086226,0.6808510638297872,0.7417239225484072,-0.060872858718620027,8.433126873450663,0.0036844621849736426
race,asian,161,123,38,1.1858476837254428,1.0438646706929615,0.7639751552795031,0.7318718381112985,0.03210331716820458,0.8116354488744165,0.36763717110627225
race_white,white,2955,2248,707,0.08868553044618187,0.7819630017006601,0.7607445008460237,0.9728650833754422,-0.21212058252941846,2237.5657372577207,0.0
ethnicity_hispanic,hispanic,361,109,252,0.02005793591433083,0.3159407198072337,0.30193905817174516,0.9556826304503216,-0.6537435722785765,2936.7478829479096,0.0
ethnicity,not hispanic or latino,3415,2423,992,5.64697395679195,2.349867691109111,0.7095168374816984,0.30193905817174516,0.4075777793099532,245.5086573961486,2.4752996248334186e-55
ethnicity,hispanic or latino,361,109,252,0.17708599466750521,0.42555587439393716,0.30193905817174516,0.7095168374816984,-0.4075777793099532,245.5086573961486,2.4752996248334186e-55
