feature,category,n_total,n_pos,n_neg,odds_ratio,risk_ratio,risk_exposed,risk_unexposed,risk_diff,chi2,p_value
age_bin,50-59,1943,764,1179,0.3360498129099593,0.5971192637266299,0.393206381883685,0.6585056047759678,-0.26529922289228275,561.1917094910342,4.627885611460766e-124
age_bin,80+,779,254,525,0.2597683930728596,0.5011276076550081,0.32605905006418484,0.6506507426121574,-0.32459169254797254,349.2544795313825,6.158681380525442e-78
age_bin,70-79,1822,608,1214,0.2569439280759871,0.5049011683228586,0.3336992316136114,0.6609199038339871,-0.3272206722203757,803.6405629358961,8.720460928119482e-177
age_bin,60-69,2645,880,1765,0.24584635729164678,0.4967556977768456,0.332703213610586,0.6697521842216376,-0.3370489706110516,1205.5557768992687,3.783346690359938e-264
age_bin,40-49,1570,528,1042,0.26313184129526557,0.5109448271526539,0.3363057324840764,0.6582036153653026,-0.32189788288122617,675.4858016427092,6.4063881213042415e-149
age_bin,30-39,1482,302,1180,0.12981928312896115,0.3071435587666492,0.203778677462888,0.6634639459188784,-0.45968526845599034,1303.9095367017721,1.5981794810829933e-285
age_bin,<20,4152,28,4124,0.0024691192959574843,0.009196206160050256,0.00674373795761079,0.7333173963527081,-0.7265736583950974,8363.68016755098,0.0
age_bin,20-29,1012,108,904,0.06159135669636376,0.16173773364971622,0.1067193675889328,0.6598297452347172,-0.5531103776457844,1308.0488584202396,2.0141696967854723e-286
sex,female,18666,12308,6358,1.1784500971068805,1.0607835485591743,0.6593806921675774,0.6215977737052875,0.03778291846228998,51.18776301023227,8.394026286882152e-13
sex,male,14733,9158,5575,0.8485722072194832,0.942699386088958,0.6215977737052875,0.6593806921675774,-0.03778291846228998,51.18776301023227,8.394026286882152e-13
race,white,8465,2248,6217,2.4352541334740123,2.05410217930395,0.26556408741878323,0.1292847503373819,0.13627933708140133,275.27745849067753,8.030647176632307e-62
race,black or african american,1949,352,1597,0.7281526546485185,0.7772497637114849,0.1806054386865059,0.2323647392623031,-0.051759300575797224,25.22188122356541,5.109915089804808e-07
race,other,952,4,948,0.013163379308314389,0.017309751664161807,0.004201680672268907,0.24273489035478696,-0.23853320968251804,287.17427859153196,2.0524172942940443e-64
race,asian,804,123,681,0.6077434242135108,0.6677528257330857,0.15298507462686567,0.22910434629597043,-0.07611927166910476,25.02351991813828,5.663522317014716e-07
race_white,white,8465,2248,6217,0.10735177974056105,0.34440708973976,0.26556408741878323,0.7710761344066642,-0.505512046987881,7038.355029399406,0.0
ethnicity_hispanic,hispanic,2599,109,2490,0.019323498181206503,0.06045229337099045,0.04193920738745671,0.6937570942111237,-0.651817886823667,4436.932466718926,0.0
ethnicity,not hispanic or latino,11866,2423,9443,5.861601283218383,4.868877542342086,0.2041968649924153,0.04193920738745671,0.16225765760495858,388.71036716381974,1.5799126149809329e-86
ethnicity,hispanic or latino,2599,109,2490,0.170601846096727,0.20538614728005009,0.04193920738745671,0.2041968649924153,-0.16225765760495858,388.71036716381974,1.5799126149809329e-86
