feature,bin,bin_low,bin_high,n,pos,neg,pos_rate,odds_ratio,weight
age_years,Q1,-inf,48.0,8055,898,7157,0.11148355058969583,0.02910217881333656,0.5008462201167159
age_years,Q2,48.0,60.0,2356,895,1461,0.3798811544991511,0.3113959114585069,0.5883958925893611
age_years,Q3,60.0,69.5,2388,812,1576,0.34003350083752093,0.25800869450066705,0.5624137008400276
age_years,Q4,69.5,inf,2606,867,1739,0.33269378357636226,0.2463865694696072,0.5572319964850703
height_last,Q1,-inf,162.125,4039,162,3877,0.04010893785590493,0.01582208564016848,0.500250275740378
height_last,Q2,162.125,170.0,2211,191,2020,0.08638625056535504,0.044090324473297006,0.5019401850763586
height_last,Q3,170.0,176.0,1405,142,1263,0.10106761565836299,0.0563421358001854,0.5031643911086299
height_last,Q4,176.0,inf,1490,151,1339,0.10134228187919463,0.05612318768651825,0.5031399220313869
weight_last,Q1,-inf,64.0,3500,175,3325,0.05,0.02130237695280037,0.5004535854307333
weight_last,Q2,64.0,76.2,1863,165,1698,0.08856682769726248,0.046743188048309625,0.5021801621367918
weight_last,Q3,76.2,89.0,1708,171,1537,0.10011709601873536,0.05436696908869184,0.5029470565145316
weight_last,Q4,89.0,inf,2361,167,2194,0.07073274036425244,0.03484443437151615,0.501212662271441
bmi_last,Q1,-inf,23.0,2884,193,2691,0.06692094313453537,0.031183378458239288,0.5009714584428762
bmi_last,Q2,23.0,26.0,1570,156,1414,0.09936305732484077,0.054525562655689495,0.5029642242346443
bmi_last,Q3,26.0,30.0,1871,171,1700,0.09139497594869055,0.0483849889621316,0.5023356391752765
bmi_last,Q4,30.0,inf,2837,171,2666,0.06027493831512161,0.02794371191881076,0.5007802417831969
pack_years_smoked_max,Q1,-inf,6.0,7,7,0,1.0,8.3278280490358,1.4857859084937066
pack_years_smoked_max,Q2,6.0,28.0,7,7,0,1.0,8.3278280490358,1.4857859084937066
pack_years_smoked_max,Q3,28.0,50.0,8,8,0,1.0,9.438644241282248,1.4888997431040878
pack_years_smoked_max,Q4,50.0,inf,5,5,0,1.0,6.1065057102318985,1.4738831194303843
